iter	Passed	Remaining
399	32966	31977
400	33051	31897
401	33122	31804
402	33199	31716
403	33288	31640
404	33363	31551
405	33431	31455
406	33498	31358
407	33570	31266
408	33637	31169
409	33714	31083
410	33783	30988
411	33860	30902
412	33921	30799
413	33996	30712
414	34060	30613
415	34123	30514
416	34193	30421
417	34247	30315
418	34312	30217
419	34387	30130
420	34540	30109
421	34619	30025
422	34712	29952
423	34797	29873
424	34873	29785
425	34936	29687
426	35008	29597
427	35070	29498
428	35133	29401
429	35192	29300
430	35255	29202
431	35321	29107
432	35383	29009
433	35521	28973
434	35598	28888
435	35667	28795
436	35726	28695
437	35782	28593
438	35833	28487
439	35888	28384
440	35962	28297
441	36045	28216
442	36121	28130
443	36193	28041
444	36262	27950
445	36341	27867
446	36404	27771
447	36477	27683
